Order_ID,Order_Date,Ship_Date,Month,Quarter,Year,Region,City,Segment,Category,Sub_Category,Product,Quantity,Sales,Discount,Profit
ORD-2067,2023-12-05,2023-12-07,December,Q4,2023,West,West City 5,Corporate,Furniture,Chairs,Executive Chair,10,248560,0,78605
ORD-2068,2023-01-17,2023-01-22,January,Q1,2023,South,South City 4,Home Office,Furniture,Bookcases,Wall Bookcase,3,30975,0,6094
ORD-2069,2022-09-24,2022-09-29,September,Q3,2022,East,East City 6,Corporate,Technology,Accessories,Mouse,13,77831,0.05,9750
ORD-2070,2023-12-31,2024-01-07,December,Q4,2023,North,North City 3,Consumer,Office Supplies,Paper,Glossy Paper,5,8090,0.15,883
ORD-2071,2023-01-19,2023-01-26,January,Q1,2023,South,South City 2,Consumer,Technology,Accessories,Webcam,8,177552,0.1,47852
ORD-2072,2022-12-02,2022-12-07,December,Q4,2022,South,South City 1,Home Office,Office Supplies,Paper,Carbon Paper,9,7002,0.15,855
ORD-2073,2023-12-06,2023-12-10,December,Q4,2023,East,East City 2,Corporate,Office Supplies,Pens,Marker Set,4,2064,0.05,730
ORD-2074,2023-01-31,2023-02-02,January,Q1,2023,South,South City 4,Home Office,Furniture,Chairs,Executive Chair,2,7900,0,2126
ORD-2075,2022-08-09,2022-08-15,August,Q3,2022,East,East City 6,Corporate,Furniture,Bookcases,5-Shelf Bookcase,3,60672,0.15,13354
ORD-2076,2023-03-21,2023-03-24,March,Q1,2023,East,East City 4,Home Office,Technology,Accessories,Mouse,8,330160,0.05,114960
ORD-2077,2023-04-21,2023-04-23,April,Q2,2023,West,West City 6,Home Office,Office Supplies,Pens,Marker Set,9,18450,0,4154
ORD-2078,2023-04-11,2023-04-13,April,Q2,2023,North,North City 1,Corporate,Furniture,Chairs,Gaming Chair,7,204001,0.05,22853
ORD-2079,2023-07-15,2023-07-19,July,Q3,2023,North,North City 1,Consumer,Technology,Accessories,Mouse,3,55389,0,10179
ORD-2080,2022-02-14,2022-02-21,February,Q1,2022,South,South City 4,Consumer,Technology,Phones,Realme 10,4,71928,0.05,14923
ORD-2081,2022-12-27,2023-01-03,December,Q4,2022,East,East City 1,Corporate,Furniture,Chairs,Executive Chair,1,16806,0.05,4064
ORD-2082,2022-08-07,2022-08-14,August,Q3,2022,West,West City 4,Corporate,Furniture,Tables,Conference Table,12,209136,0.1,59510
ORD-2083,2023-10-26,2023-10-30,October,Q4,2023,North,North City 6,Corporate,Technology,Laptops,Acer Aspire,10,99100,0,36232
ORD-2084,2023-01-18,2023-01-24,January,Q1,2023,North,North City 3,Consumer,Furniture,Tables,Study Table,10,240890,0.1,77034
ORD-2085,2023-02-04,2023-02-06,February,Q1,2023,South,South City 1,Home Office,Furniture,Bookcases,5-Shelf Bookcase,2,35574,0,10112
ORD-2086,2022-12-19,2022-12-23,December,Q4,2022,East,East City 6,Consumer,Technology,Phones,iPhone 14,9,184149,0.15,20406
ORD-2087,2022-01-08,2022-01-15,January,Q1,2022,East,East City 5,Corporate,Technology,Laptops,Lenovo ThinkPad,8,417440,0.05,136175
ORD-2088,2023-11-18,2023-11-19,November,Q4,2023,North,North City 5,Consumer,Technology,Laptops,Lenovo ThinkPad,8,108000,0.1,26757
ORD-2089,2022-09-23,2022-09-25,September,Q3,2022,East,East City 2,Consumer,Technology,Phones,OnePlus 11,7,79835,0,25720
ORD-2090,2022-01-02,2022-01-08,January,Q1,2022,South,South City 5,Corporate,Furniture,Tables,Study Table,3,88392,0.05,30139
ORD-2091,2023-04-10,2023-04-13,April,Q2,2023,West,West City 6,Consumer,Furniture,Chairs,Executive Chair,9,228825,0.1,76502
ORD-2092,2022-07-30,2022-07-31,July,Q3,2022,North,North City 1,Consumer,Technology,Phones,OnePlus 11,14,834400,0,88549
ORD-2093,2022-09-12,2022-09-13,September,Q3,2022,North,North City 4,Consumer,Technology,Phones,Samsung Galaxy,12,259668,0.1,30904
ORD-2094,2023-09-06,2023-09-07,September,Q3,2023,West,West City 6,Consumer,Furniture,Chairs,Study Chair,8,35968,0.05,9796
ORD-2095,2022-11-11,2022-11-16,November,Q4,2022,North,North City 1,Home Office,Technology,Accessories,Mouse,1,37765,0.05,9460
ORD-2096,2022-10-04,2022-10-11,October,Q4,2022,West,West City 2,Home Office,Technology,Phones,Samsung Galaxy,3,106464,0.05,14213
ORD-2097,2023-10-04,2023-10-08,October,Q4,2023,North,North City 4,Home Office,Furniture,Chairs,Mesh Chair,4,75836,0,21468
ORD-2098,2023-11-26,2023-12-01,November,Q4,2023,West,West City 4,Home Office,Furniture,Bookcases,Wall Bookcase,9,56304,0.15,11543
ORD-2099,2022-09-08,2022-09-15,September,Q3,2022,North,North City 4,Consumer,Technology,Accessories,USB Hub,3,130410,0.05,29366
ORD-2100,2023-11-07,2023-11-10,November,Q4,2023,North,North City 5,Corporate,Furniture,Chairs,Executive Chair,15,55680,0.2,6207
ORD-2101,2022-09-16,2022-09-19,September,Q3,2022,South,South City 2,Consumer,Office Supplies,Pens,Marker Set,10,8390,0.1,1448
ORD-2102,2022-08-03,2022-08-09,August,Q3,2022,East,East City 3,Corporate,Technology,Accessories,Headset,10,106590,0.2,10024
ORD-2103,2023-10-26,2023-10-29,October,Q4,2023,West,West City 3,Consumer,Technology,Accessories,Keyboard,13,76895,0.1,5902
ORD-2104,2022-01-15,2022-01-22,January,Q1,2022,West,West City 5,Consumer,Office Supplies,Binders,File Folder,9,15687,0.2,4189
ORD-2105,2022-07-06,2022-07-11,July,Q3,2022,East,East City 5,Consumer,Technology,Phones,Realme 10,2,71156,0.15,10373
ORD-2106,2023-02-13,2023-02-20,February,Q1,2023,West,West City 1,Consumer,Office Supplies,Paper,Carbon Paper,10,16600,0.05,2893
ORD-2107,2023-12-08,2023-12-14,December,Q4,2023,North,North City 1,Home Office,Technology,Phones,iPhone 14,12,271692,0.05,64492
ORD-2108,2022-11-13,2022-11-15,November,Q4,2022,West,West City 5,Home Office,Furniture,Tables,Standing Desk,3,63972,0,12440
ORD-2109,2023-03-24,2023-03-30,March,Q1,2023,South,South City 2,Consumer,Office Supplies,Pens,Marker Set,13,5590,0.1,1587
ORD-2110,2022-08-26,2022-09-02,August,Q3,2022,North,North City 5,Consumer,Furniture,Chairs,Study Chair,5,42635,0.1,9823
ORD-2111,2023-09-11,2023-09-14,September,Q3,2023,South,South City 6,Corporate,Technology,Accessories,Mouse,3,92223,0.1,28607
ORD-2112,2023-01-24,2023-01-27,January,Q1,2023,North,North City 4,Home Office,Office Supplies,Paper,A3 Paper 250,8,18696,0,3976
ORD-2113,2023-06-29,2023-06-30,June,Q2,2023,South,South City 6,Consumer,Furniture,Bookcases,Mini Bookcase,8,65160,0,10064
ORD-2114,2023-02-02,2023-02-04,February,Q1,2023,South,South City 5,Home Office,Technology,Laptops,Asus VivoBook,11,649011,0.1,168834
ORD-2115,2023-08-10,2023-08-16,August,Q3,2023,West,West City 5,Consumer,Technology,Laptops,Acer Aspire,7,398342,0,138935
ORD-2116,2022-11-25,2022-11-27,November,Q4,2022,East,East City 6,Corporate,Technology,Phones,Vivo V25,5,170675,0.15,51844
ORD-2117,2022-06-11,2022-06-12,June,Q2,2022,North,North City 6,Home Office,Office Supplies,Paper,Glossy Paper,9,18423,0,6188
ORD-2118,2022-02-16,2022-02-20,February,Q1,2022,South,South City 5,Consumer,Furniture,Bookcases,Mini Bookcase,6,49980,0.1,11314
ORD-2119,2023-08-17,2023-08-22,August,Q3,2023,West,West City 4,Consumer,Technology,Accessories,USB Hub,8,309912,0.05,86756
ORD-2120,2022-12-05,2022-12-06,December,Q4,2022,West,West City 2,Home Office,Technology,Laptops,Acer Aspire,15,783960,0,239417
ORD-2121,2023-02-06,2023-02-08,February,Q1,2023,South,South City 4,Corporate,Office Supplies,Paper,A3 Paper 250,1,1572,0.15,431
ORD-2122,2023-03-30,2023-04-04,March,Q1,2023,East,East City 1,Consumer,Office Supplies,Pens,Ball Pen Pack,11,30734,0.05,5126
ORD-2123,2023-12-07,2023-12-09,December,Q4,2023,West,West City 6,Home Office,Technology,Laptops,Acer Aspire,7,387002,0.1,118777
ORD-2124,2022-03-10,2022-03-13,March,Q1,2022,South,South City 3,Home Office,Technology,Phones,Samsung Galaxy,9,243711,0.1,62801
ORD-2125,2022-09-21,2022-09-23,September,Q3,2022,North,North City 3,Consumer,Office Supplies,Paper,Glossy Paper,2,5334,0.15,1072
ORD-2126,2023-06-01,2023-06-02,June,Q2,2023,West,West City 3,Consumer,Technology,Accessories,Mouse,14,387492,0.1,129542
ORD-2127,2023-03-17,2023-03-18,March,Q1,2023,South,South City 4,Home Office,Furniture,Bookcases,3-Shelf Bookcase,6,151770,0.2,19526
ORD-2128,2023-10-07,2023-10-08,October,Q4,2023,North,North City 5,Consumer,Office Supplies,Paper,A4 Paper 500,15,33675,0.15,6802
ORD-2129,2023-10-15,2023-10-21,October,Q4,2023,West,West City 1,Home Office,Furniture,Chairs,Mesh Chair,8,104288,0.15,30155
ORD-2130,2023-08-27,2023-08-28,August,Q3,2023,East,East City 3,Corporate,Furniture,Chairs,Executive Chair,5,24845,0.2,1898
ORD-2131,2023-08-09,2023-08-12,August,Q3,2023,South,South City 1,Consumer,Technology,Accessories,Webcam,3,53229,0,15852
ORD-2132,2022-11-29,2022-11-30,November,Q4,2022,West,West City 5,Corporate,Furniture,Bookcases,Wall Bookcase,4,37312,0.05,10726
ORD-2133,2022-10-08,2022-10-14,October,Q4,2022,South,South City 6,Consumer,Furniture,Chairs,Office Chair Pro,12,53580,0.2,4048
ORD-2134,2023-02-12,2023-02-14,February,Q1,2023,South,South City 2,Home Office,Office Supplies,Paper,A3 Paper 250,6,10920,0.05,1626
ORD-2135,2023-04-04,2023-04-07,April,Q2,2023,West,West City 4,Corporate,Furniture,Tables,Foldable Table,14,304136,0.2,35523
ORD-2136,2023-12-17,2023-12-23,December,Q4,2023,South,South City 3,Corporate,Technology,Accessories,Headset,7,332458,0.2,44766
ORD-2137,2023-01-02,2023-01-04,January,Q1,2023,East,East City 4,Consumer,Furniture,Chairs,Executive Chair,1,16029,0.2,1770
ORD-2138,2022-05-06,2022-05-10,May,Q2,2022,South,South City 5,Corporate,Technology,Laptops,Acer Aspire,8,153392,0.2,27991
ORD-2139,2023-12-03,2023-12-10,December,Q4,2023,South,South City 3,Consumer,Technology,Phones,OnePlus 11,8,305912,0.1,41967
ORD-2140,2023-12-21,2023-12-24,December,Q4,2023,West,West City 5,Consumer,Technology,Phones,Vivo V25,3,52089,0,6443
ORD-2141,2023-06-04,2023-06-06,June,Q2,2023,East,East City 3,Consumer,Furniture,Chairs,Office Chair Pro,6,64170,0,8872
ORD-2142,2023-10-14,2023-10-17,October,Q4,2023,West,West City 1,Home Office,Technology,Laptops,Lenovo ThinkPad,7,151718,0.2,24397
ORD-2143,2022-12-10,2022-12-15,December,Q4,2022,North,North City 4,Corporate,Office Supplies,Paper,Glossy Paper,3,5772,0.15,905
ORD-2144,2022-07-09,2022-07-13,July,Q3,2022,West,West City 1,Corporate,Furniture,Tables,Corner Desk,13,106184,0.15,14279
ORD-2145,2023-08-21,2023-08-27,August,Q3,2023,South,South City 1,Corporate,Furniture,Chairs,Gaming Chair,9,52587,0.2,15006
ORD-2146,2022-01-01,2022-01-02,January,Q1,2022,North,North City 2,Consumer,Furniture,Tables,Study Table,10,235660,0,56861
ORD-2147,2023-03-27,2023-04-03,March,Q1,2023,North,North City 1,Corporate,Furniture,Chairs,Mesh Chair,11,305987,0,104990
ORD-2148,2022-03-18,2022-03-19,March,Q1,2022,West,West City 6,Consumer,Technology,Laptops,Acer Aspire,2,50308,0.05,13020
ORD-2149,2023-06-08,2023-06-14,June,Q2,2023,East,East City 5,Home Office,Technology,Accessories,Keyboard,12,61272,0.05,10915
ORD-2150,2023-12-08,2023-12-09,December,Q4,2023,West,West City 2,Corporate,Office Supplies,Binders,Spiral Binder,8,2960,0.15,405
ORD-2151,2022-03-20,2022-03-27,March,Q1,2022,West,West City 6,Corporate,Technology,Accessories,Keyboard,14,355152,0.1,49382
ORD-2152,2023-02-03,2023-02-10,February,Q1,2023,North,North City 1,Consumer,Office Supplies,Binders,Ring Binder,14,20118,0.2,4144
ORD-2153,2022-06-06,2022-06-09,June,Q2,2022,East,East City 2,Corporate,Technology,Laptops,Dell Inspiron,2,25764,0.15,6394
ORD-2154,2023-12-01,2023-12-06,December,Q4,2023,South,South City 1,Corporate,Furniture,Bookcases,5-Shelf Bookcase,3,21183,0.1,5564
ORD-2155,2023-02-08,2023-02-13,February,Q1,2023,South,South City 5,Home Office,Furniture,Tables,Foldable Table,4,25508,0.15,5165
ORD-2156,2023-08-09,2023-08-15,August,Q3,2023,North,North City 5,Consumer,Furniture,Tables,Standing Desk,2,18932,0.05,4680
ORD-2157,2023-09-17,2023-09-21,September,Q3,2023,West,West City 1,Consumer,Office Supplies,Binders,File Folder,4,1268,0,350
ORD-2158,2023-06-04,2023-06-07,June,Q2,2023,North,North City 6,Corporate,Office Supplies,Paper,Glossy Paper,7,7245,0,2259
ORD-2159,2022-07-07,2022-07-11,July,Q3,2022,North,North City 2,Home Office,Technology,Laptops,Lenovo ThinkPad,4,184384,0.2,30253
ORD-2160,2023-12-07,2023-12-09,December,Q4,2023,South,South City 6,Consumer,Office Supplies,Pens,Highlighter Pack,11,13167,0,3362
ORD-2161,2022-09-26,2022-10-02,September,Q3,2022,North,North City 5,Home Office,Office Supplies,Paper,Carbon Paper,4,1948,0.15,554
ORD-2162,2023-04-21,2023-04-23,April,Q2,2023,North,North City 3,Consumer,Office Supplies,Binders,Document Sleeve,15,25305,0.05,5998
ORD-2163,2023-04-11,2023-04-12,April,Q2,2023,North,North City 4,Consumer,Furniture,Tables,Standing Desk,12,199728,0.05,56701
ORD-2164,2022-09-13,2022-09-17,September,Q3,2022,West,West City 6,Corporate,Technology,Laptops,Acer Aspire,2,25392,0.2,2484
ORD-2165,2022-11-23,2022-11-28,November,Q4,2022,East,East City 5,Consumer,Furniture,Chairs,Mesh Chair,9,88740,0,14247
ORD-2166,2023-11-10,2023-11-14,November,Q4,2023,South,South City 1,Corporate,Office Supplies,Pens,Gel Pen Set,5,14290,0.1,3980
ORD-2167,2022-04-12,2022-04-14,April,Q2,2022,West,West City 3,Corporate,Office Supplies,Binders,File Folder,1,1728,0.15,129
ORD-2168,2023-12-25,2023-12-26,December,Q4,2023,West,West City 4,Corporate,Technology,Laptops,Asus VivoBook,6,29772,0.1,7125
ORD-2169,2023-02-05,2023-02-07,February,Q1,2023,South,South City 3,Corporate,Office Supplies,Pens,Ball Pen Pack,6,11652,0.05,2673
ORD-2170,2023-01-09,2023-01-13,January,Q1,2023,South,South City 2,Home Office,Technology,Phones,Samsung Galaxy,15,710985,0.1,211537
ORD-2171,2023-02-18,2023-02-19,February,Q1,2023,East,East City 3,Consumer,Furniture,Tables,Standing Desk,1,10600,0.1,3559
ORD-2172,2023-04-11,2023-04-12,April,Q2,2023,West,West City 4,Home Office,Office Supplies,Pens,Gel Pen Set,7,4809,0,1618
ORD-2173,2022-06-17,2022-06-18,June,Q2,2022,South,South City 1,Consumer,Furniture,Chairs,Study Chair,3,73536,0.2,6354
ORD-2174,2022-11-18,2022-11-21,November,Q4,2022,South,South City 5,Home Office,Technology,Laptops,HP Pavilion,13,671229,0.1,129988
ORD-2175,2022-02-01,2022-02-03,February,Q1,2022,North,North City 1,Home Office,Technology,Phones,OnePlus 11,14,687260,0.05,70441
ORD-2176,2023-07-03,2023-07-04,July,Q3,2023,East,East City 4,Corporate,Technology,Laptops,Dell Inspiron,5,51260,0.15,4839
ORD-2177,2022-08-31,2022-09-07,August,Q3,2022,South,South City 6,Corporate,Technology,Phones,Realme 10,15,70470,0.05,25226
ORD-2178,2023-10-13,2023-10-17,October,Q4,2023,West,West City 2,Home Office,Office Supplies,Paper,A4 Paper 500,10,24340,0.05,8033
ORD-2179,2022-12-20,2022-12-24,December,Q4,2022,West,West City 2,Home Office,Office Supplies,Paper,A4 Paper 500,1,520,0.1,153
ORD-2180,2023-06-20,2023-06-23,June,Q2,2023,East,East City 6,Corporate,Office Supplies,Binders,Ring Binder,3,8454,0.05,2070
ORD-2181,2022-12-19,2022-12-21,December,Q4,2022,North,North City 3,Home Office,Technology,Laptops,Asus VivoBook,5,185475,0.1,38128
ORD-2182,2023-03-03,2023-03-07,March,Q1,2023,East,East City 3,Home Office,Furniture,Bookcases,3-Shelf Bookcase,15,154785,0.15,12434
ORD-2183,2023-02-16,2023-02-23,February,Q1,2023,West,West City 3,Consumer,Technology,Laptops,HP Pavilion,7,282100,0.15,55887
ORD-2184,2023-01-11,2023-01-15,January,Q1,2023,West,West City 5,Corporate,Office Supplies,Pens,Gel Pen Set,4,9380,0.15,1948
ORD-2185,2023-06-19,2023-06-25,June,Q2,2023,South,South City 4,Corporate,Technology,Phones,Realme 10,8,187640,0,38113
ORD-2186,2023-10-26,2023-11-02,October,Q4,2023,West,West City 2,Home Office,Office Supplies,Binders,Document Sleeve,2,2520,0,650
ORD-2187,2022-12-01,2022-12-04,December,Q4,2022,East,East City 3,Consumer,Technology,Accessories,Mouse,12,162096,0.2,44205
ORD-2188,2022-11-24,2022-11-28,November,Q4,2022,South,South City 4,Home Office,Technology,Phones,Vivo V25,13,727194,0.1,78567
ORD-2189,2022-12-05,2022-12-07,December,Q4,2022,North,North City 1,Corporate,Furniture,Chairs,Office Chair Pro,5,96315,0.2,14702
ORD-2190,2023-05-26,2023-06-02,May,Q2,2023,South,South City 2,Home Office,Technology,Phones,Vivo V25,7,402507,0,91917
ORD-2191,2023-04-23,2023-04-28,April,Q2,2023,East,East City 5,Home Office,Furniture,Bookcases,Mini Bookcase,7,111587,0,13814
ORD-2192,2023-08-05,2023-08-12,August,Q3,2023,North,North City 5,Consumer,Office Supplies,Binders,Spiral Binder,6,16998,0.05,2710
ORD-2193,2023-05-10,2023-05-14,May,Q2,2023,East,East City 1,Consumer,Furniture,Chairs,Office Chair Pro,7,38129,0.05,7101
ORD-2194,2022-07-31,2022-08-04,July,Q3,2022,West,West City 5,Home Office,Office Supplies,Pens,Ball Pen Pack,9,4743,0.05,573
